symbol,1 wk,1 mo,3 mo,6 mo,1 yr
IGV,0.0993,0.2115,0.2282,-0.0127,-0.0067
SOXX,0.0846,0.2333,0.6175,0.9571,1.7389
ARKK,0.0696,0.0806,0.1041,0.0443,0.4474
XLK,0.0695,0.1976,0.3706,0.3499,0.6587
FNGS,0.0613,0.1324,0.2593,0.1117,0.3211
SMH,0.0547,0.1820,0.4738,0.7278,1.4614
SPMO,0.0408,0.1256,0.2573,0.2691,0.4436
QQQ,0.0333,0.1057,0.2157,0.2050,0.4268
XHB,0.0308,-0.0318,-0.0916,-0.0569,0.0879
XBI,0.0294,0.0408,0.0801,0.1163,0.7050
IWM,0.0281,0.0448,0.1029,0.1804,0.4242
IWY,0.0242,0.0751,0.1398,0.0828,0.2939
XLB,0.0226,-0.0062,-0.0352,0.1618,0.2080
SPY,0.0185,0.0526,0.1052,0.1193,0.2968
XLY,0.0183,0.0213,0.0493,0.0327,0.1333
MAGS,0.0174,0.0675,0.1477,0.0820,0.3563
XLI,0.0152,-0.0083,-0.0296,0.1400,0.2292
XLV,0.0089,0.0238,-0.0533,-0.0486,0.1494
XLF,-0.0029,-0.0106,0.0106,-0.0175,0.0299
XLC,-0.0035,-0.0070,-0.0154,0.0172,0.1598
XLRE,-0.0115,-0.0092,0.0083,0.0794,0.0916
XLU,-0.0129,-0.0519,-0.0558,0.0015,0.1265
XLP,-0.0207,-0.0166,-0.0601,0.0651,0.0377
XLE,-0.0480,-0.0563,-0.0068,0.2798,0.4126
