symbol,1 wk,1 mo,3 mo,6 mo,1 yr
SOXX,0.1046,0.1249,0.7660,0.8997,1.6448
SMH,0.0882,0.0720,0.5738,0.6767,1.3632
SPMO,0.0568,0.0336,0.3030,0.2586,0.4346
IWM,0.0401,0.0299,0.1790,0.1422,0.3916
XBI,0.0398,-0.0079,0.0797,0.0911,0.5916
XHB,0.0394,0.0749,0.0599,-0.0099,0.1184
XLB,0.0306,0.0099,0.0609,0.1675,0.2033
XLP,0.0285,0.0099,0.0155,0.1040,0.0761
XLK,0.0250,0.0295,0.3332,0.2523,0.5323
QQQ,0.0231,0.0022,0.2030,0.1560,0.3582
XLF,0.0199,0.0400,0.0875,-0.0196,0.0619
ARKK,0.0156,-0.0301,0.0500,-0.0781,0.2198
XLY,0.0151,-0.0174,0.0413,-0.0260,0.0997
XLRE,0.0148,0.0330,0.0724,0.1313,0.1112
XLI,0.0115,0.0096,0.0639,0.1239,0.2410
SPY,0.0057,-0.0086,0.1118,0.0824,0.2427
XLV,0.0052,0.0490,0.0227,0.0099,0.1443
XLU,0.0041,-0.0082,-0.0512,0.0496,0.1182
XLC,-0.0002,-0.0466,-0.0288,-0.0381,0.0907
XLE,-0.0021,-0.0090,0.0004,0.2709,0.3720
FNGS,-0.0103,-0.0368,0.1488,0.0149,0.1702
IWY,-0.0105,-0.0362,0.1009,0.0207,0.1983
MAGS,-0.0241,-0.0850,0.0662,-0.0124,0.2399
IGV,-0.0537,0.0007,0.0677,-0.1738,-0.1527
