symbol,1 wk,1 mo,3 mo,6 mo,1 yr
XLE,0.0245,0.0307,0.0306,0.2694,0.4541
XLV,0.0237,0.0573,-0.0040,0.0025,0.1700
XLRE,0.0161,0.0068,0.0470,0.1094,0.1073
XLF,0.0140,0.0145,0.0444,-0.0170,0.0484
XHB,0.0086,0.0083,-0.0145,-0.0355,0.0860
XLP,0.0064,-0.0064,-0.0240,0.0782,0.0530
XLI,0.0061,0.0010,0.0218,0.1306,0.2281
XLU,-0.0016,-0.0171,-0.0468,0.0293,0.1283
XLB,-0.0102,-0.0150,0.0172,0.1554,0.1790
SPY,-0.0250,0.0082,0.0904,0.0838,0.2579
IWM,-0.0302,-0.0022,0.1125,0.1242,0.3652
XLC,-0.0347,-0.0486,-0.0471,-0.0294,0.1040
IWY,-0.0396,0.0022,0.0928,0.0336,0.2350
SPMO,-0.0419,0.0358,0.2128,0.2036,0.3762
QQQ,-0.0450,0.0146,0.1615,0.1347,0.3500
SMH,-0.0488,0.0548,0.4446,0.5803,1.2739
XLY,-0.0497,-0.0419,0.0043,-0.0316,0.1053
SOXX,-0.0515,0.0963,0.6057,0.7660,1.5160
XLK,-0.0561,0.0625,0.2916,0.2423,0.5357
IGV,-0.0572,0.0550,0.0928,-0.1121,-0.0842
XBI,-0.0587,-0.0373,0.0122,0.0473,0.5641
MAGS,-0.0594,-0.0345,0.0776,0.0023,0.3089
FNGS,-0.0730,0.0134,0.1328,0.0309,0.2012
ARKK,-0.0910,-0.0441,0.0027,-0.0987,0.3217
