symbol,1 wk,1 mo,3 mo,6 mo,1 yr
SPY,-0.011485184370836938,-0.017470561011981325,0.03301415939335226,0.16015835399116873,0.17503428052391143
QQQ,-0.0038875806429138236,-0.023481361072028705,-0.007863062567882542,0.20689885837304475,0.22980705588507877
XLB,-0.03173698213606983,-0.025998852991779762,-0.019916925849986354,0.04421121186044337,0.12021716906221334
XLC,-0.006879520197565718,0.0004442470013327158,0.011186631943073327,-0.010426980022707396,-0.020288842986386342
XLE,0.008047044258743362,0.06681952178185388,0.13994368732101833,0.14432451480112846,0.5068613557441624
XLF,-0.02237021857923501,-0.017336079642979712,0.07704257001005506,0.18107370782637083,0.07593568622468178
XLI,-0.012545829514207137,-0.07223208999407928,-0.019235675098255064,0.05236164459339492,0.1424970047950561
XLK,0.009141259342904709,-0.01624993447607078,0.0167348704806289,0.3751638706512043,0.39190249252911874
XLP,-0.02205019939010098,-0.03046511627906982,-0.021643295892294075,-0.0036221309497284403,0.06345315439015077
XLRE,-0.018757062146892618,-0.037677304964538916,-0.03448075642248804,0.04350786543827666,0.055602144666422236
XLU,-0.014873344178480142,-0.03746594005449588,-0.04200322436978071,-0.08528828414362723,0.024194437107368075
XLV,-0.045596213782754115,-0.017935621807815546,0.07979431077066522,0.11332794069519321,0.20409835064220885
XLY,-0.030053237162974412,-0.04634867032503173,-0.029252122951284303,0.023009518188435003,-0.040982341502068476
XHB,-0.03725432678204754,-0.10106820049301568,-0.08351852691175939,-0.01764534466744115,-0.16589812252330197
SOXX,0.04952210274790932,-0.04297853796709874,-0.11562747615799798,0.5925068858348882,1.0749697870508201
SMH,0.028827361563517822,-0.034950434546442206,-0.08295696496548174,0.4678181395709085,0.8763401194970776
IGV,-0.0507713884992988,-0.044787354158825794,0.11949765677122326,0.2060629227831938,-0.09663311860167467
XBI,-0.049762744859472,-0.004207573632538729,0.16860664824779892,0.28332827274940775,0.6394534247409581
IWM,-0.02134218638842783,-0.048138385502471216,-0.01153246861006794,0.17637963251564642,0.2121598290305358
MAGS,-0.007667187278148605,0.020440940283253113,0.07672161454321375,0.1659993326659994,0.14382794330146711
FNGS,-0.019237838500183718,-0.013110440635584471,0.10141736617586355,0.2804351303791395,0.1548117154811716
IWY,-0.008062562718433109,-0.02260561219271027,0.006729252072825119,0.12146331594661318,0.0800589119244238
SPMO,0.006105420256427689,-0.028876375065479288,-0.02587256554170876,0.28207426909683486,0.24486974642859768
ARKK,-0.04085379848519626,0.011986923356338478,0.10482485128883004,0.1897508896797153,0.0674329501915709
