symbol,1 wk,1 mo,3 mo,6 mo,1 yr
SPY,0.014752109086954063,0.009974389207396085,0.15429871255218194,0.12141279963275169,0.2674598207694306
QQQ,0.03276996876394467,0.03851924560050484,0.27399757613297304,0.23664494270145295,0.4067866975753104
XLB,0.011518937914877068,0.04203539823008857,0.10764040704550064,0.15738582086949318,0.21400219230278703
XLC,-0.023813770959686065,-0.05727820844099907,-0.021681200413024522,-0.04886968711826489,0.0708449555826392
XLE,-0.058648459383753404,-0.1008361204013377,-0.08755141586446043,0.2187121939140738,0.26020745952550733
XLF,0.018053971873812292,0.03697251258226875,0.0970546202923141,-0.010999087498047812,0.08305027521321454
XLI,0.03288609763060229,0.05962631054881982,0.12211822380132469,0.1856114218711,0.2891124501484359
XLK,0.04492112875934714,0.0807271085017501,0.41676511418347917,0.37716549851373415,0.593648526713793
XLP,-0.02310308432039403,-0.025958840037418135,0.03046839120482985,0.06015238996502462,0.06433318068967926
XLRE,-0.023597506678539677,-0.012829169480081034,0.08777240252199292,0.0957964522679247,0.08442565545057647
XLU,0.01611804767309877,0.0056167153448663226,0.009402095660782168,0.06189035547803547,0.14256861958557837
XLV,-0.030436757738983695,0.0154285325902264,0.03222802529109472,-0.020429396165063327,0.14124134021862714
XLY,0.00739466895958727,-0.006613532304561651,0.08956198101027486,-0.024058166986252145,0.12222160176159247
XHB,0.02976908096077166,0.12252325111200975,0.15519918523409973,0.0548471876129934,0.19808691218397956
SOXX,0.08997269633679517,0.22953176887035576,0.9239652180715388,1.2442542886104186,1.8355054575664533
SMH,0.08274673886290909,0.16863245138667524,0.715132297135728,0.951145513313763,1.520684732612001
IGV,-0.019949625987387247,-0.045154522018877465,0.07369779497738269,-0.14893810883298583,-0.16008879248605676
XBI,0.06011752297724868,0.0684078657656973,0.16964508353420327,0.16730929024141314,0.7085116635596297
IWM,0.02023818148861101,0.05866070063300707,0.2232159618780428,0.20049802790106835,0.4245533943018486
MAGS,0.008165151748574968,-0.058281767160742515,0.1211238649991434,0.01671904304247656,0.2425509113238595
FNGS,0.035441657579062084,0.025247876214411186,0.24402227317392713,0.13644524236983827,0.23131787972118653
IWY,0.013998484460905897,-0.0135172610129435,0.15756738110707022,0.07346437956004767,0.23091230255629927
SPMO,0.06189400982866246,0.11576303119112416,0.409283712379627,0.37935548674006364,0.5046869137338293
ARKK,0.0626822157434403,0.057357594936708785,0.15965292841648576,0.03204633204633198,0.2009884678747941
