symbol,1 wk,1 mo,3 mo,6 mo,1 yr
SPY,0.0010918307662312755,-0.003970204071075623,0.04455140882081622,0.14157003084224268,0.20311323055759228
QQQ,0.0035313987409797,-0.00562908869618126,0.005142731988702688,0.18574696972472116,0.25404516293919893
XLB,-0.013915005641218541,-0.00794551645856984,0.05356910980844195,0.05754908170184012,0.1611267779708213
XLC,-0.008496327108593625,0.00701123595505619,0.011139381871250334,-0.04148257779047637,-0.010884974021568454
XLE,0.022016592214422506,0.11408695652173917,0.10605297837550862,0.1529263074690846,0.5119024004717292
XLF,0.0,0.008680555555555556,0.12184744969949882,0.16431568998079535,0.11166218724352381
XLI,-0.010556621880997947,-0.05351549843395613,0.011911206409390715,0.030692109823778145,0.17611220652839663
XLK,0.008562658193763818,-0.0036707985316805753,0.01803747132036151,0.3432418240496056,0.43234055843741886
XLP,-0.010181392627267461,-0.006343984962406088,0.02529140114517547,-0.0037429776763244294,0.07502327335729521
XLRE,-0.012365107913669002,-0.02334370831480652,0.006367675068514033,0.03783285024821879,0.07711620103334253
XLU,0.008190966534051053,-0.012153175877092436,-0.0038146885560160935,-0.06821650634540913,0.06081758415657509
XLV,0.0016943211030614165,0.03482617093191684,0.12806941446134965,0.12088131115105522,0.2649206953667426
XLY,-0.019622899070045195,-0.04129818121141334,-0.0021391877268211977,0.0067948149104115445,-0.01492486236032345
XHB,-0.01290630975143398,-0.0681407942238267,0.0010771510505131264,-0.01558441839543924,-0.12964330577340144
SOXX,0.022099013015610885,-0.043090912437646046,-0.0898698508732712,0.547140736136312,1.1140179767745932
SMH,0.0251306250112997,-0.026926377209541878,-0.05207636752708302,0.43776149301417444,0.9392777698434963
IGV,-0.04502283105022837,0.018307527509981453,0.09345521581065767,0.19244090060831617,-0.032837142664383645
XBI,0.008806503263948804,0.040922666327762584,0.2766883772569624,0.28984493621054297,0.7234690123962779
IWM,0.0008791208791208483,-0.018404297652208555,0.04434325145374702,0.17196146798171436,0.25786254723320445
MAGS,0.00535688432025488,0.00433902227364763,0.04373966631594764,0.12508101101749836,0.15113082519149282
FNGS,-0.00012368583797143978,0.000742758108442712,0.0865591397849462,0.24714594261030565,0.18725216625055074
IWY,0.00727715877437337,-0.005807959309918199,0.0035710742561679133,0.09858663990963316,0.11354487411350227
SPMO,0.020029976836081195,0.00020041418932461178,0.013978156903568455,0.26041480584755156,0.2897732196266617
ARKK,0.019269417188792947,0.08548407402744544,0.13626779124934113,0.16058688921792963,0.14395648135863068
